Wins,diff_text_success,goals_aginest,goals_for_GF,losses,name,ot_losses,url,win_percent,year
36,,252.0,208.0,39.0,Phoenix Coyotes,7.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.439,2008.0
45,,239.0,264.0,28.0,Pittsburgh Penguins,9.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.549,2008.0
53,,204.0,257.0,18.0,San Jose Sharks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.646,2008.0
41,,233.0,233.0,31.0,St. Louis Blues,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.5,2008.0
42,,238.0,245.0,33.0,Anaheim Ducks,7.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.512,2008.0
35,,280.0,257.0,41.0,Atlanta Thrashers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.427,2008.0
53,,196.0,274.0,19.0,Boston Bruins,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.646,2008.0
41,,234.0,250.0,32.0,Buffalo Sabres,9.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.5,2008.0
46,,248.0,254.0,30.0,Calgary Flames,6.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.561,2008.0
24,,279.0,210.0,40.0,Tampa Bay Lightning,18.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.293,2008.0
34,,293.0,250.0,35.0,Toronto Maple Leafs,13.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.415,2008.0
45,,220.0,246.0,27.0,Vancouver Canucks,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.549,2008.0
50,,245.0,272.0,24.0,Washington Capitals,8.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.61,2008.0
45,,226.0,239.0,30.0,Carolina Hurricanes,7.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.549,2008.0
41,,230.0,226.0,31.0,Columbus Blue Jackets,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.5,2008.0
46,,216.0,264.0,24.0,Chicago Blackhawks,12.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.561,2008.0
32,,257.0,199.0,45.0,Colorado Avalanche,5.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.39,2008.0
36,,257.0,230.0,35.0,Dallas Stars,11.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.439,2008.0
39,,251.0,238.0,32.0,Anaheim Ducks,11.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.476,2009.0
35,,256.0,234.0,34.0,Atlanta Thrashers,13.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.427,2009.0
39,,200.0,206.0,30.0,Boston Bruins,13.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.476,2009.0
45,,207.0,235.0,27.0,Buffalo Sabres,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.549,2009.0
40,,210.0,204.0,32.0,Calgary Flames,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.488,2009.0
35,,256.0,230.0,37.0,Carolina Hurricanes,10.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.427,2009.0
51,,244.0,295.0,21.0,Detroit Red Wings,10.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.622,2008.0
38,,248.0,234.0,35.0,Edmonton Oilers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.463,2008.0
41,,231.0,234.0,30.0,Florida Panthers,11.0,https://www.scrapethissite.com/pages/forms/?page_num=19,0.5,2008.0
32,,259.0,216.0,35.0,Columbus Blue Jackets,15.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.39,2009.0
52,,209.0,271.0,22.0,Chicago Blackhawks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=20,0.634,2009.0
14,,313.0,170.0,57.0,Atlanta Thrashers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.171,1999.0
24,,248.0,210.0,33.0,Boston Bruins,6.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.293,1999.0
35,,204.0,213.0,32.0,Buffalo Sabres,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.427,1999.0
31,,256.0,211.0,36.0,Calgary Flames,5.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.378,1999.0
37,,216.0,217.0,35.0,Carolina Hurricanes,0.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.451,1999.0
40,,198.0,236.0,22.0,Colorado Avalanche,7.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.488,2003.0
41,,175.0,194.0,26.0,Dallas Stars,2.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.5,2003.0
48,,189.0,255.0,21.0,Detroit Red Wings,2.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.585,2003.0
36,,208.0,221.0,29.0,Edmonton Oilers,5.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.439,2003.0
33,,245.0,242.0,37.0,Chicago Blackhawks,2.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.402,1999.0
42,,201.0,233.0,28.0,Colorado Avalanche,1.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.512,1999.0
43,,184.0,211.0,23.0,Dallas Stars,6.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.524,1999.0
48,,210.0,278.0,22.0,Detroit Red Wings,2.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.585,1999.0
32,,212.0,226.0,26.0,Edmonton Oilers,8.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.39,1999.0
43,,209.0,244.0,27.0,Florida Panthers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.524,1999.0
39,,228.0,245.0,27.0,Los Angeles Kings,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.476,1999.0
28,,221.0,188.0,35.0,Florida Panthers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.341,2003.0
28,,217.0,205.0,29.0,Los Angeles Kings,9.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.341,2003.0
30,,183.0,188.0,29.0,Minnesota Wild,3.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.366,2003.0
41,,192.0,208.0,30.0,Montreal Canadiens,4.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.5,2003.0
38,,217.0,216.0,29.0,Nashville Predators,4.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.463,2003.0
35,,194.0,196.0,34.0,Montreal Canadiens,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.427,1999.0
28,,240.0,199.0,40.0,Nashville Predators,7.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.341,1999.0
45,,203.0,251.0,24.0,New Jersey Devils,5.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.549,1999.0
24,,275.0,194.0,48.0,New York Islanders,1.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.293,1999.0
29,,246.0,218.0,38.0,New York Rangers,3.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.354,1999.0
41,,210.0,244.0,28.0,Ottawa Senators,2.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.5,1999.0
45,,179.0,237.0,22.0,Philadelphia Flyers,3.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.549,1999.0
39,,228.0,232.0,31.0,Phoenix Coyotes,4.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.476,1999.0
33,,221.0,203.0,37.0,Los Angeles Kings,6.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.402,2002.0
42,,178.0,198.0,29.0,Minnesota Wild,1.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.512,2002.0
30,,234.0,206.0,35.0,Montreal Canadiens,9.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.366,2002.0
27,,206.0,183.0,35.0,Nashville Predators,7.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.329,2002.0
30,,237.0,227.0,29.0,Vancouver Canucks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.366,1999.0
44,,194.0,227.0,24.0,Washington Capitals,2.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.537,1999.0
25,,245.0,188.0,41.0,Mighty Ducks of Anaheim,5.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.305,2000.0
23,,289.0,211.0,45.0,Atlanta Thrashers,2.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.28,2000.0
42,,220.0,239.0,28.0,New York Islanders,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.512,2001.0
36,,258.0,227.0,38.0,New York Rangers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.439,2001.0
39,,208.0,243.0,27.0,Ottawa Senators,7.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.476,2001.0
42,,192.0,234.0,27.0,Philadelphia Flyers,3.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.512,2001.0
40,,210.0,228.0,27.0,Phoenix Coyotes,6.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.488,2001.0
28,,249.0,198.0,41.0,Pittsburgh Penguins,5.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.341,2001.0
44,,199.0,248.0,27.0,San Jose Sharks,3.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.537,2001.0
43,,188.0,227.0,27.0,St. Louis Blues,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.524,2001.0
27,,219.0,178.0,40.0,Tampa Bay Lightning,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.329,2001.0
43,,164.0,213.0,25.0,New Jersey Devils,2.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.524,2003.0
38,,210.0,237.0,29.0,New York Islanders,4.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.463,2003.0
27,,250.0,206.0,40.0,New York Rangers,8.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.329,2003.0
43,,189.0,262.0,23.0,Ottawa Senators,6.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.524,2003.0
40,,186.0,229.0,21.0,Philadelphia Flyers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.488,2003.0
22,,245.0,188.0,36.0,Phoenix Coyotes,6.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.268,2003.0
23,,303.0,190.0,47.0,Pittsburgh Penguins,4.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.28,2003.0
43,,183.0,219.0,21.0,San Jose Sharks,6.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.524,2003.0
39,,198.0,191.0,30.0,St. Louis Blues,2.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.476,2003.0
37,,236.0,241.0,31.0,Pittsburgh Penguins,6.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.451,1999.0
35,,214.0,225.0,30.0,San Jose Sharks,7.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.427,1999.0
51,,165.0,248.0,19.0,St. Louis Blues,1.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.622,1999.0
46,,166.0,216.0,20.0,New Jersey Devils,6.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.561,2002.0
35,,231.0,224.0,34.0,New York Islanders,2.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.427,2002.0
32,,231.0,210.0,36.0,New York Rangers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.39,2002.0
52,,182.0,263.0,21.0,Ottawa Senators,1.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.634,2002.0
45,,166.0,211.0,20.0,Philadelphia Flyers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.549,2002.0
31,,230.0,204.0,35.0,Phoenix Coyotes,5.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.378,2002.0
27,,255.0,189.0,44.0,Pittsburgh Penguins,5.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.329,2002.0
28,,239.0,214.0,37.0,San Jose Sharks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.341,2002.0
36,,249.0,227.0,30.0,Boston Bruins,8.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.439,2000.0
46,,184.0,218.0,30.0,Buffalo Sabres,1.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.561,2000.0
27,,236.0,197.0,36.0,Calgary Flames,4.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.329,2000.0
38,,225.0,212.0,32.0,Carolina Hurricanes,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.463,2000.0
28,,233.0,190.0,39.0,Columbus Blue Jackets,6.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.341,2000.0
43,,207.0,249.0,25.0,Toronto Maple Leafs,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.524,2001.0
42,,211.0,254.0,30.0,Vancouver Canucks,3.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.512,2001.0
36,,240.0,228.0,33.0,Washington Capitals,2.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.439,2001.0
40,,193.0,203.0,27.0,Mighty Ducks of Anaheim,6.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.488,2002.0
31,,284.0,226.0,39.0,Atlanta Thrashers,5.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.378,2002.0
46,,192.0,245.0,22.0,Tampa Bay Lightning,6.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.561,2003.0
45,,204.0,242.0,24.0,Toronto Maple Leafs,3.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.549,2003.0
43,,194.0,235.0,24.0,Vancouver Canucks,5.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.524,2003.0
23,,253.0,186.0,46.0,Washington Capitals,3.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.28,2003.0
42,,256.0,281.0,28.0,Pittsburgh Penguins,3.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.512,2000.0
40,,192.0,217.0,27.0,San Jose Sharks,3.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.488,2000.0
43,,195.0,249.0,22.0,St. Louis Blues,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.524,2000.0
24,,280.0,201.0,47.0,Tampa Bay Lightning,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.293,2000.0
19,,310.0,204.0,47.0,Tampa Bay Lightning,7.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.232,1999.0
45,,222.0,246.0,27.0,Toronto Maple Leafs,3.0,https://www.scrapethissite.com/pages/forms/?page_num=10,0.549,1999.0
41,,222.0,253.0,24.0,St. Louis Blues,6.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.5,2002.0
36,,210.0,219.0,25.0,Tampa Bay Lightning,5.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.439,2002.0
29,,246.0,210.0,40.0,Chicago Blackhawks,5.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.354,2000.0
52,,192.0,270.0,16.0,Colorado Avalanche,4.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.634,2000.0
48,,187.0,241.0,24.0,Dallas Stars,2.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.585,2000.0
49,,202.0,253.0,20.0,Detroit Red Wings,4.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.598,2000.0
36,,237.0,245.0,31.0,Boston Bruins,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.439,2002.0
27,,219.0,190.0,37.0,Buffalo Sabres,8.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.329,2002.0
29,,228.0,186.0,36.0,Calgary Flames,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.354,2002.0
22,,240.0,171.0,43.0,Carolina Hurricanes,6.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.268,2002.0
29,,263.0,213.0,42.0,Columbus Blue Jackets,3.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.354,2002.0
43,,229.0,254.0,27.0,Mighty Ducks of Anaheim,12.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.524,2005.0
41,,275.0,281.0,33.0,Atlanta Thrashers,8.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.5,2005.0
29,,266.0,230.0,37.0,Boston Bruins,16.0,https://www.scrapethissite.com/pages/forms/?page_num=15,0.354,2005.0
37,,207.0,232.0,29.0,Toronto Maple Leafs,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.451,2000.0
44,,208.0,236.0,28.0,Toronto Maple Leafs,3.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.537,2002.0
45,,208.0,264.0,23.0,Vancouver Canucks,1.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.549,2002.0
39,,220.0,224.0,29.0,Washington Capitals,6.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.476,2002.0
29,,213.0,184.0,35.0,Mighty Ducks of Anaheim,8.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.354,2003.0
33,,243.0,214.0,37.0,Atlanta Thrashers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.402,2003.0
39,,222.0,243.0,28.0,Edmonton Oilers,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.476,2000.0
22,,246.0,200.0,38.0,Florida Panthers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.268,2000.0
38,,228.0,252.0,28.0,Los Angeles Kings,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.463,2000.0
25,,210.0,168.0,39.0,Minnesota Wild,5.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.305,2000.0
28,,232.0,206.0,40.0,Montreal Canadiens,6.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.341,2000.0
34,,200.0,186.0,36.0,Nashville Predators,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.415,2000.0
48,,195.0,295.0,19.0,New Jersey Devils,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.585,2000.0
21,,268.0,185.0,51.0,New York Islanders,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.256,2000.0
33,,290.0,250.0,43.0,New York Rangers,1.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.402,2000.0
30,,226.0,207.0,33.0,Chicago Blackhawks,6.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.366,2002.0
42,,194.0,251.0,19.0,Colorado Avalanche,8.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.512,2002.0
46,,169.0,245.0,17.0,Dallas Stars,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.561,2002.0
48,,203.0,269.0,20.0,Detroit Red Wings,4.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.585,2002.0
36,,230.0,231.0,26.0,Edmonton Oilers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.439,2002.0
24,,237.0,176.0,36.0,Florida Panthers,9.0,https://www.scrapethissite.com/pages/forms/?page_num=13,0.293,2002.0
36,,238.0,239.0,28.0,Vancouver Canucks,7.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.439,2000.0
41,,211.0,233.0,27.0,Washington Capitals,4.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.5,2000.0
29,,198.0,175.0,42.0,Mighty Ducks of Anaheim,3.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.354,2001.0
19,,288.0,187.0,47.0,Atlanta Thrashers,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.232,2001.0
43,,201.0,236.0,24.0,Boston Bruins,9.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.524,2001.0
35,,200.0,213.0,35.0,Buffalo Sabres,1.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.427,2001.0
32,,220.0,201.0,35.0,Calgary Flames,3.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.39,2001.0
35,,217.0,217.0,26.0,Carolina Hurricanes,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.427,2001.0
22,,255.0,164.0,47.0,Columbus Blue Jackets,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.268,2001.0
41,,207.0,216.0,27.0,Chicago Blackhawks,1.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.5,2001.0
41,,188.0,209.0,19.0,Boston Bruins,7.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.5,2003.0
37,,221.0,220.0,34.0,Buffalo Sabres,4.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.451,2003.0
42,,176.0,200.0,30.0,Calgary Flames,3.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.512,2003.0
28,,209.0,172.0,34.0,Carolina Hurricanes,6.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.341,2003.0
25,,238.0,177.0,45.0,Columbus Blue Jackets,4.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.305,2003.0
48,,205.0,274.0,21.0,Ottawa Senators,4.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.585,2000.0
43,,207.0,240.0,25.0,Philadelphia Flyers,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.524,2000.0
35,,212.0,214.0,27.0,Phoenix Coyotes,3.0,https://www.scrapethissite.com/pages/forms/?page_num=11,0.427,2000.0
45,,169.0,212.0,28.0,Colorado Avalanche,1.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.549,2001.0
36,,213.0,215.0,28.0,Dallas Stars,5.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.439,2001.0
51,,187.0,251.0,17.0,Detroit Red Wings,4.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.622,2001.0
38,,182.0,205.0,28.0,Edmonton Oilers,4.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.463,2001.0
20,,259.0,188.0,43.0,Chicago Blackhawks,8.0,https://www.scrapethissite.com/pages/forms/?page_num=14,0.244,2003.0
22,,250.0,180.0,44.0,Florida Panthers,6.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.268,2001.0
40,,190.0,214.0,27.0,Los Angeles Kings,4.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.488,2001.0
26,,238.0,195.0,35.0,Minnesota Wild,9.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.317,2001.0
36,,209.0,207.0,31.0,Montreal Canadiens,3.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.439,2001.0
28,,230.0,196.0,41.0,Nashville Predators,0.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.341,2001.0
41,,187.0,205.0,28.0,New Jersey Devils,4.0,https://www.scrapethissite.com/pages/forms/?page_num=12,0.5,2001.0
34,,227.0,217.0,33.0,Mighty Ducks of Anaheim,3.0,https://www.scrapethissite.com/pages/forms/?page_num=9,0.415,1999.0
